Code, Routine, Start Time, Stop Time, Description
B, morning, 2018-02-11T09:30:55-05:00, 2018-02-11T09:31:02-05:00, Get Out of Bed,
T, morning, 2018-02-11T09:31:18-05:00, 2018-02-11T09:31:25-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-11T09:31:28-05:00, 2018-02-11T09:32:40-05:00, Morning Eye Lubricant,
MB, morning, 2018-02-11T09:32:46-05:00, 2018-02-11T09:35:16-05:00, Make Bed,
FD, aftermornex, 2018-02-11T10:11:11-05:00, 2018-02-11T10:43:32-05:00, Breakfast and Meds,
BT, aftermornex, 2018-02-11T11:35:44-05:00, 2018-02-11T11:35:45-05:00, Brush Teeth,
SH, aftermornex, 2018-02-11T11:35:58-05:00, 2018-02-11T12:13:11-05:00, Shave and Shower,
FT, aftermornex, 2018-02-11T12:13:31-05:00, 2018-02-11T12:30:00-05:00, Fissure Treatment,
CL, aftermornex, 2018-02-11T12:30:50-05:00, 2018-02-11T12:35:16-05:00, Put Clothes On,
EY, aftermornex, 2018-02-11T12:35:21-05:00, 2018-02-11T12:36:11-05:00, Eye Lubricant Again,
T, aftermornex, 2018-02-11T12:37:10-05:00, 2018-02-11T12:38:50-05:00, Update Todo List,
TX, aftermornex, 2018-02-11T12:44:39-05:00, 2018-02-11T14:01:02-05:00, Daily Tasks,
EY, midday, 2018-02-11T14:02:33-05:00, 2018-02-11T14:04:00-05:00, Midday Eye Lubricant,
FD, midday, 2018-02-11T14:04:14-05:00, 2018-02-11T14:34:35-05:00, Lunch and Meds,
FT, midday, 2018-02-11T14:34:41-05:00, 2018-02-11T14:54:01-05:00, Midday Fissure Treatment,
T, evening, 2018-02-11T17:58:14-05:00, 2018-02-11T18:01:57-05:00, Update Todo List,
EY, evening, 2018-02-11T18:02:00-05:00, 2018-02-11T18:03:12-05:00, Afternoon Eye Lubricant,
FD, evening, 2018-02-11T18:03:18-05:00, 2018-02-11T19:49:03-05:00, Dinner and Meds,
BT, evening, 2018-02-11T20:21:24-05:00, 2018-02-11T20:31:05-05:00, Brush Teeth,
FT, evening, 2018-02-11T20:31:35-05:00, 2018-02-11T20:48:19-05:00, Fissure Treatment,
EX, evening, 2018-02-11T20:55:04-05:00, 2018-02-11T21:50:56-05:00, Evening Exercises,
EY, evening, 2018-02-11T21:51:20-05:00, 2018-02-11T21:51:57-05:00, Nighttime Eye Lubricant,
DG, evening, 2018-02-11T21:52:27-05:00, 2018-02-11T21:52:37-05:00, Dental Guard,
SL, evening, 2018-02-11T21:53:58-05:00, 2018-02-12T04:30:18-05:00, Go to Sleep,
B, morning, 2018-02-12T04:34:03-05:00, 2018-02-12T04:35:15-05:00, Get Out of Bed,
T, morning, 2018-02-12T04:41:46-05:00, 2018-02-12T04:51:41-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-12T04:54:56-05:00, 2018-02-12T04:57:46-05:00, Morning Eye Lubricant,
MB, morning, 2018-02-12T04:59:17-05:00, 2018-02-12T04:59:18-05:00, Make Bed,
EX, morning, 2018-02-12T04:59:21-05:00, 2018-02-12T05:40:47-05:00, Morning Exercises,
FD, morning, 2018-02-12T05:43:30-05:00, 2018-02-12T06:24:21-05:00, Breakfast and Meds,
BT, morning, 2018-02-12T06:25:20-05:00, 2018-02-12T06:38:51-05:00, Brush Teeth,
SH, morning, 2018-02-12T06:39:42-05:00, 2018-02-12T06:57:52-05:00, Shave and Shower,
FT, morning, 2018-02-12T06:58:03-05:00, 2018-02-12T07:13:14-05:00, Fissure Treatment,
CL, morning, 2018-02-12T07:17:17-05:00, 2018-02-12T07:18:10-05:00, Put Clothes On,
EY, morning, 2018-02-12T07:18:13-05:00, 2018-02-12T07:19:00-05:00, Eye Lubricant Again,
T, morning, 2018-02-12T07:19:03-05:00, 2018-02-12T07:20:31-05:00, Update Todo List,
TX, morning, 2018-02-12T07:50:25-05:00, 2018-02-12T12:10:04-05:00, Daily Tasks,
T, evening, 2018-02-12T18:23:51-05:00, 2018-02-12T19:36:44-05:00, Update Todo List,
EY, evening, 2018-02-12T19:37:59-05:00, 2018-02-12T19:38:11-05:00, Afternoon Eye Lubricant,
FD, evening, 2018-02-12T19:38:16-05:00, 2018-02-12T21:17:04-05:00, Dinner and Meds,
B, morning, , 2018-02-13T08:42:46-05:00, Get Out of Bed, finished earlier
T, morning, 2018-02-13T08:46:38-05:00, 2018-02-13T08:48:07-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-13T08:48:50-05:00, 2018-02-13T08:49:53-05:00, Morning Eye Lubricant,
MB, morning, 2018-02-13T08:50:28-05:00, 2018-02-13T08:51:38-05:00, Make Bed,
FD, morning, 2018-02-13T08:52:52-05:00, 2018-02-13T09:18:02-05:00, Breakfast and Meds,
BT, morning, 2018-02-13T09:18:52-05:00, 2018-02-13T09:31:58-05:00, Brush Teeth,
SH, morning, 2018-02-13T09:33:44-05:00, 2018-02-13T09:52:14-05:00, Shave and Shower,
FT, morning, 2018-02-13T09:52:36-05:00, 2018-02-13T10:07:25-05:00, Fissure Treatment,
CL, morning, , 2018-02-13T10:14:24-05:00, Put Clothes On, finished earlier
EY, morning, 2018-02-13T10:14:48-05:00, 2018-02-13T10:15:41-05:00, Eye Lubricant Again,
T, morning, 2018-02-13T10:18:33-05:00, 2018-02-13T10:19:18-05:00, Update Todo List,
T, evening, 2018-02-13T22:38:05-05:00, 2018-02-13T22:39:23-05:00, Update Todo List,
EY, evening, , 2018-02-13T22:41:52-05:00, Afternoon Eye Lubricant, finished earlier
FD, evening, 2018-02-13T22:42:18-05:00, 2018-02-13T23:04:01-05:00, Dinner and Meds,
BT, evening, 2018-02-13T23:04:16-05:00, 2018-02-13T23:19:20-05:00, Brush Teeth,
FT, evening, 2018-02-13T23:19:54-05:00, 2018-02-13T23:30:55-05:00, Fissure Treatment,
EX, evening, , 2018-02-13T23:32:14-05:00, Evening Exercises, finished earlier
EY, evening, 2018-02-13T23:56:55-05:00, 2018-02-13T23:57:48-05:00, Nighttime Eye Lubricant,
DG, evening, 2018-02-13T23:58:14-05:00, 2018-02-13T23:58:18-05:00, Dental Guard,
SL, evening, 2018-02-13T23:59:13-05:00, 2018-02-14T04:13:51-05:00, Go to Sleep,
B, morning, , 2018-02-14T04:47:46-05:00, Get Out of Bed, finished earlier
T, morning, 2018-02-14T04:48:17-05:00, 2018-02-14T04:49:50-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-14T04:53:58-05:00, 2018-02-14T04:55:41-05:00, Morning Eye Lubricant,
MB, morning, 2018-02-14T04:59:23-05:00, 2018-02-14T05:00:07-05:00, Make Bed,
EX, morning, , 2018-02-14T06:42:58-05:00, Morning Exercises, finished earlier
FD, morning, 2018-02-14T06:44:16-05:00, 2018-02-14T07:12:36-05:00, Breakfast and Meds,
BT, morning, 2018-02-14T07:13:15-05:00, 2018-02-14T07:26:02-05:00, Brush Teeth,
SH, morning, 2018-02-14T07:26:50-05:00, 2018-02-14T07:43:21-05:00, Shave and Shower,
FT, morning, 2018-02-14T07:43:47-05:00, 2018-02-14T08:05:12-05:00, Fissure Treatment,
CL, morning, 2018-02-14T08:06:12-05:00, 2018-02-14T08:17:14-05:00, Put Clothes On,
EY, morning, 2018-02-14T08:24:38-05:00, 2018-02-14T08:25:43-05:00, Eye Lubricant Again,
T, morning, , 2018-02-14T08:26:50-05:00, Update Todo List, finished earlier
EY, midday, , 2018-02-14T12:20:12-05:00, Midday Eye Lubricant, finished earlier
FD, midday, 2018-02-14T12:20:19-05:00, 2018-02-14T12:46:10-05:00, Lunch and Meds,
T, evening, 2018-02-14T18:31:35-05:00, 2018-02-14T18:37:51-05:00, Update Todo List,
EY, evening, 2018-02-14T18:37:55-05:00, 2018-02-14T18:39:01-05:00, Afternoon Eye Lubricant,
FD, evening, 2018-02-14T18:39:11-05:00, 2018-02-14T20:00:47-05:00, Dinner and Meds,
BT, evening, 2018-02-14T20:40:28-05:00, 2018-02-14T20:49:00-05:00, Brush Teeth,
FT, evening, 2018-02-14T20:49:02-05:00, 2018-02-14T21:08:22-05:00, Fissure Treatment,
BG, evening, 2018-02-14T21:09:00-05:00, 2018-02-14T21:09:59-05:00, Bandage Ear,
EY, evening, , 2018-02-14T21:11:44-05:00, Nighttime Eye Lubricant, finished earlier
DG, evening, 2018-02-14T21:11:54-05:00, 2018-02-14T21:12:23-05:00, Dental Guard,
SL, evening, 2018-02-14T21:12:26-05:00, 2018-02-15T05:45:34-05:00, Go to Sleep,
B, morning, 2018-02-15T05:45:59-05:00, 2018-02-15T06:05:56-05:00, Get Out of Bed,
T, morning, 2018-02-15T06:12:35-05:00, 2018-02-15T06:21:47-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-15T06:21:50-05:00, 2018-02-15T06:25:14-05:00, Morning Eye Lubricant,
MB, morning, , 2018-02-15T06:27:42-05:00, Make Bed, finished earlier
EX, morning, 2018-02-15T06:59:52-05:00, 2018-02-15T07:06:56-05:00, Morning Exercises, UNFINISHED
FD, morning, 2018-02-15T07:09:00-05:00, 2018-02-15T07:43:33-05:00, Breakfast and Meds,
BT, morning, 2018-02-15T07:48:35-05:00, 2018-02-15T07:58:25-05:00, Brush Teeth,
SH, morning, 2018-02-15T07:58:28-05:00, 2018-02-15T08:18:26-05:00, Shave and Shower,
FT, morning, 2018-02-15T08:18:28-05:00, 2018-02-15T08:36:43-05:00, Fissure Treatment,
CL, morning, 2018-02-15T08:36:45-05:00, 2018-02-15T08:44:43-05:00, Put Clothes On,
EY, morning, 2018-02-15T08:44:46-05:00, 2018-02-15T08:45:50-05:00, Eye Lubricant Again,
T, morning, 2018-02-15T08:46:00-05:00, 2018-02-15T08:47:13-05:00, Update Todo List,
B, morning, 2018-02-16T07:09:25-05:00, 2018-02-16T08:40:11-05:00, Get Out of Bed,
B, morning, 2018-02-17T03:57:27-05:00, 2018-02-17T04:08:52-05:00, Get Out of Bed,
T, morning, , 2018-02-17T04:27:21-05:00, Calendar and Routine Todo List, finished earlier
EY, morning, 2018-02-17T04:27:23-05:00, 2018-02-17T04:29:55-05:00, Morning Eye Lubricant,
MB, morning, 2018-02-17T04:30:00-05:00, 2018-02-17T04:31:28-05:00, Make Bed,
EX, morning, 2018-02-17T04:31:31-05:00, 2018-02-17T05:01:17-05:00, Morning Exercises, UNFINISHED
FD, morning, 2018-02-17T06:21:39-05:00, 2018-02-17T06:49:06-05:00, Breakfast and Meds,
BT, morning, 2018-02-17T07:05:44-05:00, 2018-02-18T05:38:27-05:00, Brush Teeth, UNFINISHED
B, morning, , 2018-02-18T05:38:41-05:00, Get Out of Bed, finished earlier
T, morning, 2018-02-18T05:38:46-05:00, 2018-02-18T07:40:47-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-18T07:40:55-05:00, 2018-02-18T07:42:42-05:00, Morning Eye Lubricant,
MB, morning, 2018-02-18T07:42:44-05:00, 2018-02-18T07:46:41-05:00, Make Bed,
FD, morning, 2018-02-18T07:46:48-05:00, 2018-02-18T08:25:19-05:00, Breakfast and Meds,
BT, morning, 2018-02-18T08:37:45-05:00, 2018-02-18T08:37:47-05:00, Brush Teeth,
FT, morning, 2018-02-18T08:37:54-05:00, 2018-02-18T08:51:57-05:00, Fissure Treatment,
CL, morning, 2018-02-18T08:51:59-05:00, 2018-02-18T08:54:48-05:00, Put Clothes On,
EY, morning, 2018-02-18T08:54:50-05:00, 2018-02-18T08:55:31-05:00, Eye Lubricant Again,
T, morning, 2018-02-18T08:55:35-05:00, 2018-02-18T08:56:26-05:00, Update Todo List,
B, morning, , 2018-02-19T06:00:23-05:00, Get Out of Bed, finished earlier
T, morning, 2018-02-19T06:00:25-05:00, 2018-02-19T06:06:29-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-19T06:06:32-05:00, 2018-02-19T06:08:24-05:00, Morning Eye Lubricant,
EX, morning, 2018-02-19T06:08:50-05:00, 2018-02-19T06:37:29-05:00, Morning Exercises,
FD, morning, 2018-02-19T06:40:48-05:00, 2018-02-19T07:02:52-05:00, Breakfast and Meds,
BT, morning, 2018-02-19T07:25:55-05:00, 2018-02-19T07:40:42-05:00, Brush Teeth,
SH, morning, , 2018-02-19T08:00:48-05:00, Shave and Shower, finished earlier
FT, morning, 2018-02-19T08:00:51-05:00, 2018-02-19T08:25:00-05:00, Fissure Treatment,
CL, morning, 2018-02-19T08:25:03-05:00, 2018-02-19T08:35:28-05:00, Put Clothes On,
EY, morning, , 2018-02-19T08:47:03-05:00, Eye Lubricant Again, finished earlier
T, morning, 2018-02-19T08:47:09-05:00, 2018-02-19T08:54:34-05:00, Update Todo List,
TX, morning, 2018-02-19T08:57:14-05:00, 2018-02-19T10:57:14-05:00, Daily Tasks,
EY, midday, 2018-02-19T10:57:59-05:00, 2018-02-19T10:58:47-05:00, Midday Eye Lubricant,
FD, midday, 2018-02-19T11:01:12-05:00, 2018-02-19T11:24:30-05:00, Lunch and Meds,
FT, midday, 2018-02-19T11:46:27-05:00, 2018-02-19T12:04:04-05:00, Midday Fissure Treatment,
B, morning, , 2018-02-20T05:20:50-05:00, Get Out of Bed, finished earlier
T, morning, 2018-02-20T05:20:59-05:00, 2018-02-20T05:31:38-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-20T05:42:48-05:00, 2018-02-20T07:19:21-05:00, Morning Eye Lubricant,
MB, morning, 2018-02-20T07:19:24-05:00, 2018-02-20T07:21:20-05:00, Make Bed,
EX, morning, 2018-02-20T07:26:35-05:00, 2018-02-20T07:52:10-05:00, Morning Exercises,
FD, morning, 2018-02-20T07:52:24-05:00, 2018-02-20T08:34:21-05:00, Breakfast and Meds,
BT, morning, 2018-02-20T08:44:02-05:00, 2018-02-20T08:54:11-05:00, Brush Teeth,
FT, morning, 2018-02-20T08:54:18-05:00, 2018-02-20T09:23:00-05:00, Fissure Treatment,
CL, morning, , 2018-02-20T09:23:04-05:00, Put Clothes On, finished earlier
EY, morning, 2018-02-20T09:32:23-05:00, 2018-02-20T09:35:17-05:00, Eye Lubricant Again,
EY, midday, 2018-02-20T16:23:22-05:00, 2018-02-20T16:24:24-05:00, Midday Eye Lubricant,
FD, midday, 2018-02-20T16:31:14-05:00, 2018-02-20T16:55:17-05:00, Lunch and Meds,
FT, midday, 2018-02-20T17:50:41-05:00, 2018-02-20T18:09:09-05:00, Midday Fissure Treatment,
B, morning, 2018-02-21T06:18:00-05:00, 2018-02-21T07:01:57-05:00, Get Out of Bed,
T, morning, 2018-02-21T08:01:48-05:00, 2018-02-21T08:32:33-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-21T08:35:02-05:00, 2018-02-21T08:35:03-05:00, Morning Eye Lubricant,
MB, morning, 2018-02-21T08:35:47-05:00, 2018-02-21T08:37:19-05:00, Make Bed,
FD, morning, 2018-02-21T08:38:08-05:00, 2018-02-21T09:19:54-05:00, Breakfast and Meds,
BT, morning, 2018-02-21T09:20:47-05:00, 2018-02-21T09:42:55-05:00, Brush Teeth,
FT, morning, 2018-02-21T09:43:03-05:00, 2018-02-21T09:57:57-05:00, Fissure Treatment,
CL, morning, 2018-02-21T09:59:34-05:00, 2018-02-21T10:01:59-05:00, Put Clothes On,
EY, morning, 2018-02-21T10:02:25-05:00, 2018-02-21T10:03:35-05:00, Eye Lubricant Again,
T, morning, 2018-02-21T10:03:37-05:00, 2018-02-21T10:05:57-05:00, Update Todo List,
EY, midday, 2018-02-21T12:05:09-05:00, 2018-02-21T12:06:29-05:00, Midday Eye Lubricant,
FD, midday, 2018-02-21T12:06:31-05:00, 2018-02-21T13:14:52-05:00, Lunch and Meds,
FT, midday, 2018-02-21T13:14:59-05:00, 2018-02-21T13:36:02-05:00, Midday Fissure Treatment,
T, evening, 2018-02-21T18:46:26-05:00, 2018-02-21T18:49:46-05:00, Update Todo List,
EY, evening, 2018-02-21T18:50:01-05:00, 2018-02-21T21:04:55-05:00, Afternoon Eye Lubricant,
FD, evening, 2018-02-21T21:05:01-05:00, 2018-02-21T21:20:03-05:00, Dinner and Meds,
B, morning, , 2018-02-22T05:29:02-05:00, Get Out of Bed, finished earlier
T, morning, 2018-02-22T05:29:10-05:00, 2018-02-22T05:47:24-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-22T05:47:30-05:00, 2018-02-22T06:13:23-05:00, Morning Eye Lubricant,
MB, morning, , 2018-02-22T06:15:22-05:00, Make Bed, finished earlier
EX, morning, 2018-02-22T06:51:09-05:00, 2018-02-22T08:02:27-05:00, Morning Exercises,
FD, morning, 2018-02-22T08:02:31-05:00, 2018-02-22T09:03:23-05:00, Breakfast and Meds,
BT, morning, 2018-02-22T09:04:25-05:00, 2018-02-22T09:19:36-05:00, Brush Teeth,
SH, morning, 2018-02-22T09:22:20-05:00, 2018-02-22T09:46:52-05:00, Shave and Shower,
FT, morning, 2018-02-22T09:46:55-05:00, 2018-02-22T10:05:14-05:00, Fissure Treatment,
CL, morning, 2018-02-22T10:05:15-05:00, 2018-02-22T10:14:03-05:00, Put Clothes On,
EY, morning, , 2018-02-22T10:17:52-05:00, Eye Lubricant Again, finished earlier
B, morning, , 2018-02-23T09:25:37-05:00, Get Out of Bed, finished earlier
