Item,Quantity,Location,Sublocation ,Notes,Not Working,,To Do 
AC Staple Gun,1,Basement ,Tools Trailer ,,,,inventory House Electricity/Electrical Box
Ryobi Cordless Drill,1,Basement,Big Tools - Ryobi Bag,,,,inventory wood
4 AMP Cordless Drill Battery Pack ,1,Basement,Big Tools - Ryobi Bag,,,,Organize welding stuff 
Cordless Drill Battery Back,2,Basement,Charging,,,,
AC Charger,1,Basement,,,,,
DC Charger,1,Basement,Big Tools - Ryobi Bag,,,,
5000 Watt Inverter,1,Basement,Unnneeded Box,,,,
light duty staple gun,1,Basement,Affixing/Attaching/Adhering Box,,,,
Cordless Ryobi Corner Sander,1,Basement,Unnneeded Box,,,,
Cordless Ryobi Disc Sander,1,Basement,Unnneeded Box,,,,
Sanding Sheets Round and Corner,many,Basement,Unnneeded Box,,,,
Headlamp,1,Basement,Survival ,Needs 2 Aas,,,
Flashlight,1,Basement,Survival ,4 AAAs - need replacement soon ,,,
Tape Measures,2,Basement,Unnneeded Box,"12 ft, 16 ft",,,
Cordless Vacuum,1,Basement,Charging,,,,
Unorganized Papers, ,Basement,Papers ,,,,
Polyester Abrasion Resistant Twine,,Basement,Survival ,,,,
Respirator,1,Basement,Safety,Missing piece,X,,
P100 Respirator Filter,1,Basement ,Safety,,,,
Dust Mask,1,Basement,Safety,,,,
8 inch square,1,Basement,Big Tools  ,,,,
extreme heavy duty liquid nails,2,Basement,Affixing/Attaching/Adhering Box,extremely toxic ,,,
ultimate bond wood glue,1,Basement,Affixing/Attaching/Adhering Box,,,,
Ear Protection,1,Basement,Safety,,,,
M1 construction glue ,1,Basement ,Affixing/Attaching/Adhering Box,nontoxic,,,
Green Building Supply Marketing Material,1,Basement,Papers ,,,,
Ryobi Circular Saw ,1,Basement,Big Tools,,,,
Ryobi Drill Bits,1,Basement,Big Tools,,,,
Welding Mask,1,Basement,Welding Stuff Area ,,,,
Screwdriver,1,Basement,Big Tools,,,,
Redflux,1,Basement,Small Tools,,,,
25 watt welder,1,Basement ,Small Tools,burnt out tip and cut power cable ,X,,
putty knife,1,Basement,Big tools,,,,
10 wat glue gun,1,Basement,Small Tools,,,,
small wire strippers,1,Basement,Small Tools,,,,
flush cutters,1,Basement,Small Tools,,,,
circular file,1,Basement,Big Tools,,,,
flat file ,1,Basement ,Big Tools  ,,,,
8 inch crescent wrench,1,Basement,Big Tools,,,,
1 phillips head screwdriver,1,Basement,Small Tools,,,,
0 philipps head screwdriver,1,Basement,Small Tools,,,,
00 philips head screwdriver,1,Basement,Small Tools,,,,
2 mm flat head screwdriver,1,Basement,Small Tools,,,,
3 mm flat head screwdriver,1,Basement,Small Tools,,,,
4 mm flat head screwdriver,1,Basement,Small Tools,missing back,X,,
3 inch planer,1,Basement,Unnneeded Box,,,,
putty knife,1,Basement,Big Tools,covered in dry wood filler,X,,